Parte;CapituloNumero;ParteCapitulo;Capitulo;Total_caracteres;Total_palabras;Longitud_media_frases;Palabras_lexicas;Palabras_funcionales;Densidad_lexica;Indice_Legilibilidad_FH;Frecuencia_Quijote;Frecuencia_Sancho;GrupoQS0-QSx
2;24;2-C24;2-C24-q15s09.txt;2384;13009;15;9;55,58;;;0,43;37,65;QnnSnn
2;25;2-C25;2-C25-q22s16.txt;3615;19332;22;16;56,01;;;0,43;42,09;QnnSnn
2;26;2-C26;2-C26-q23s08.txt;3062;16813;23;8;61,73;;;0,44;32,99;QnnSnn
2;27;2-C27;2-C27-q17s14.txt;2510;13775;17;14;67,3;;;0,42;26,55;QnnSnn
2;28;2-C28;2-C28-q14s23.txt;1943;10401;14;23;45,77;;;0,43;49,96;QnnSnn
2;29;2-C29;2-C29-q21s31.txt;2379;13068;21;31;51,62;;;0,43;42,58;QnnSnn
2;30;2-C30;2-C30-q20s24.txt;1828;9922;20;24;53,64;;;0,41;39,71;QnnSnn
2;31;2-C31;2-C31-q31s36.txt;3000;16369;31;36;51,08;;;0,43;43,23;QnnSnn
2;32;2-C32;2-C32-q35s32.txt;5180;28313;35;32;64,64;;;0,42;30,95;QnnSnn
2;33;2-C33;2-C33-q08s44.txt;2709;14211;8;44;77,4;;;0,41;24,91;QnnSnn
2;34;2-C34;2-C34-q22s29.txt;2769;15147;22;29;51,3;;;0,43;41,65;QnnSnn
2;35;2-C35;2-C35-q08s23.txt;2674;14469;8;23;61,98;;;0,44;35,97;QnnSnn
2;36;2-C36;2-C36-q06s16.txt;2127;11601;6;16;46,32;;;0,44;44,72;QnnSnn
2;37;2-C37;2-C37-q03s09.txt;747;4072;3;9;44,43;;;0,42;47,66;QnnSnn
2;38;2-C38;2-C38-q09s05.txt;2288;12755;9;5;61,76;;;0,44;31,32;QnnSnn
2;39;2-C39;2-C39-q03s05.txt;967;5528;3;5;61,05;;;0,45;31,03;QnnSnn
2;40;2-C40;2-C40-q05s14.txt;2006;11025;5;14;57,2;;;0,41;38,65;QnnSnn
2;41;2-C41;2-C41-q21s52.txt;3765;20334;21;52;58,2;;;0,43;38,67;QnnSnn
2;42;2-C42;2-C42-q03s22.txt;1894;10325;3;22;49,34;;;0,43;44,13;QnnSnn
2;43;2-C43;2-C43-q11s32.txt;2118;11472;11;32;49,19;;;0,44;46,45;QnnSnn
2;44;2-C44;2-C44-q26s22.txt;3296;17738;26;22;59,9;;;0,42;36,43;QnnSnn
2;45;2-C45;2-C45-q00s21.txt;2614;14048;0;21;48,97;;;0,43;46,89;QnnSnn
2;46;2-C46;2-C46-q23s03.txt;1448;7946;23;3;51,54;;;0,44;39,28;QnnSnn
2;47;2-C47;2-C47-q02s33.txt;3166;17152;2;33;46,48;;;0,43;47,96;QnnSnn
2;48;2-C48;2-C48-q25s01.txt;3150;17042;25;1;53,35;;;0,45;40,14;QnnSnn
2;49;2-C49;2-C49-q00s23.txt;4109;22230;0;23;49,19;;;0,44;46,59;QnnSnn
2;50;2-C50;2-C50-q13s20.txt;3354;17778;13;20;53,76;;;0,42;44,54;QnnSnn
2;51;2-C51;2-C51-q07s20.txt;3120;16801;7;20;62,36;;;0,43;33,98;QnnSnn
2;52;2-C52;2-C52-q15s10.txt;2640;14037;15;10;64,6;;;0,43;32,48;QnnSnn
2;53;2-C53;2-C53-q01s14.txt;2113;11522;1;14;53,02;;;0,45;41,69;QnnSnn
2;54;2-C54;2-C54-q04s37.txt;2876;15758;4;37;58,68;;;0,42;36,68;QnnSnn
2;55;2-C55;2-C55-q16s28.txt;2676;14443;16;28;57,34;;;0,43;37,15;QnnSnn
2;56;2-C56;2-C56-q19s06.txt;1829;9985;19;6;59,58;;;0,43;33,27;QnnSnn
2;57;2-C57;2-C57-q10s10.txt;1192;6585;10;10;39,12;;;0,42;51,16;QnnSnn
2;58;2-C58;2-C58-q41s31.txt;4180;23404;41;31;56,12;;;0,42;35,67;QnnSnn
2;59;2-C59;2-C59-q42s40.txt;2846;15745;42;40;45,16;;;0,43;45,92;QnnSnn
2;60;2-C60;2-C60-q28s27.txt;4586;25474;28;27;59,09;;;0,42;32,9;QnnSnn
2;61;2-C61;2-C61-q17s07.txt;1003;5734;17;7;50,56;;;0,43;37,93;QnnSnn
2;62;2-C62;2-C62-q48s24.txt;4399;24204;48;24;42,5;;;0,43;49,16;QnnSnn
2;63;2-C63;2-C63-q11s15.txt;3574;19646;11;15;44,75;;;0,44;46,82;QnnSnn
2;64;2-C64;2-C64-q21s03.txt;1616;8765;21;3;55,17;;;0,4;37,33;QnnSnn
2;65;2-C65;2-C65-q11s08.txt;1981;10752;11;8;49,76;;;0,41;43,34;QnnSnn
2;66;2-C66;2-C66-q15s19.txt;1831;9980;15;19;55,57;;;0,44;40,57;QnnSnn
2;67;2-C67;2-C67-q11s17.txt;1772;9938;11;17;54,54;;;0,43;39,51;QnnSnn
2;68;2-C68;2-C68-q19s23.txt;1817;9938;19;23;46,49;;;0,43;46,63;QnnSnn
2;69;2-C69;2-C69-q13s21.txt;1869;10247;13;21;55,05;;;0,43;39,98;QnnSnn
2;70;2-C70;2-C70-q28s20.txt;2631;14469;28;20;47,52;;;0,43;43,85;QnnSnn
2;71;2-C71;2-C71-q19s33.txt;2098;11379;19;33;51,8;;;0,43;42,97;QnnSnn
2;72;2-C72;2-C72-q36s20.txt;1786;9686;36;20;52,79;;;0,41;42;QnnSnn
2;73;2-C73;2-C73-q18s13.txt;1735;9558;18;13;49,57;;;0,41;43,83;QnnSnn
2;74;2-C74;2-C74-q24s10.txt;2463;13640;24;10;51;;;0,43;40,19;QnnSnn
